Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Present Value of Customer
YJ88573,Nevada,2523.07015,No,Basic,Master,1/16/11,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large,642.6
SQ19467,Oregon,6554.216396,No,Extended,College,1/27/11,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small,5734.376749
HF88410,Washington,7703.397294,No,Basic,High School or Below,2/28/11,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,Medsize,1791.150928
ET79815,California,5926.729379,Yes,Extended,College,1/25/11,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize,8179.2
QC35222,California,2683.470677,No,Basic,Bachelor,01-01-2011,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize,5168.848793
CJ15590,Oregon,2695.182419,No,Basic,Bachelor,02-01-2011,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize,482.4
OI48267,California,6047.02516,Yes,Extended,College,2/19/11,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize,4195.2
JY67916,Oregon,13171.01282,No,Premium,College,1/27/11,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small,8959.172408
OE75231,Washington,10656.88195,Yes,Extended,Bachelor,2/27/11,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize,-367.74303899999995
CZ33664,Oregon,2527.653796,No,Basic,Bachelor,1/17/11,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize,5280.120963
WK30175,Oregon,2672.095756,No,Basic,Bachelor,02-10-2011,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small,5545.470967
ON44465,California,5313.294035,No,Extended,High School or Below,1/24/11,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize,-93.39469999999994
TV87155,Oregon,20946.19251,No,Basic,Bachelor,2/24/11,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large,1431.872468
KH48895,Arizona,8375.353929,No,Basic,Master,2/15/11,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.588288,SUV,Medsize,1829.411712
NZ30757,California,4801.661503,No,Basic,Bachelor,2/16/11,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize,384.4
RI22468,Arizona,5745.94334,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,6168.094871
FZ30935,Oregon,6066.115969,No,Extended,College,2/25/11,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small,4179.963303
UG93476,California,8002.308333,Yes,Basic,College,01-11-2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize,6441.4
AB96670,California,2393.915369,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize,274.733692
XK64261,Oregon,4762.8179,No,Basic,Bachelor,01-12-2011,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize,5220.988901
EV68375,California,4330.38602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize,1412.4
UN51653,California,9402.729769,No,Extended,High School or Below,02-09-2011,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,936.0,SUV,Medsize,10504.0
TO96662,Oregon,6966.694527,No,Extended,Bachelor,1/19/11,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small,8041.937232
MR52087,California,7694.064293,No,Basic,Bachelor,01-04-2011,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize,2164.847479
DE75225,Oregon,8717.561149,No,Basic,High School or Below,01-09-2011,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize,9851.4
EP80820,California,5928.748528,No,Basic,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize,2337.432643
GU99037,Oregon,2452.977288,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,5060.393201
WI57118,California,6701.571657,No,Extended,College,2/27/11,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small,1122.0
YQ74870,Washington,7556.24034,No,Extended,High School or Below,02-12-2011,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small,-274.4
MQ14219,Arizona,8492.6988,No,Basic,College,2/26/11,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize,5101.2
KN20603,Oregon,7713.494046,No,Basic,Bachelor,2/20/11,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize,1795.2
CR48975,Washington,24084.5352,No,Basic,High School or Below,02-02-2011,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396.082036,Four-Door Car,Medsize,3221.917964
JI70886,California,7290.069769,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize,6650.4
VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,11331.6
OX28638,Arizona,6806.491395,No,Extended,High School or Below,1/21/11,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize,6156.366046
SK55033,California,2469.781334,No,Basic,Bachelor,1/15/11,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize,251.599854
OO88645,California,3103.923041,No,Extended,College,02-05-2011,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize,6783.097999
YT36855,Washington,2981.875575,No,Extended,College,2/24/11,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize,6804.320913
CW82151,California,8902.737595,No,Basic,Bachelor,01-05-2011,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize,271.890337
DY22043,Oregon,5499.447223,No,Basic,High School or Below,1/28/11,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small,4909.6
SH36774,California,15023.59858,No,Basic,High School or Below,01-12-2011,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize,13862.4
EM43724,Nevada,2509.107875,No,Basic,Bachelor,2/16/11,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize,591.10355
FH85960,Oregon,31221.7481,No,Premium,College,01-03-2011,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize,2508.6
XA55993,Oregon,3133.503432,No,Extended,Master,02-07-2011,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize,1884.2522060000001
GO36627,Arizona,3837.451863,No,Extended,College,1/13/11,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize,3164.922841
QH48047,Oregon,11790.49617,Yes,Basic,College,01-03-2011,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,2521.2
RB50392,Washington,7838.068321,No,Basic,Master,2/17/11,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,Medsize,825.295066
